ConsumoMensal,Regiao,DiasNoMes,TarifaPorKWh,ClasseDeConsumo,Impostos,ValorConta
556.94,Norte,30,1.26,Industrial,181.53,883.27
1788.6,Norte,30,0.78,Industrial,158.29,1553.4
227.11,Centro-Oeste,30,1.13,Industrial,43.15,299.78
879.41,Sudeste,30,1.08,Residencial,176.29,1126.05
908.6,Norte,30,1.21,Residencial,149.45,1248.86
615.62,Norte,30,0.76,Residencial,127.98,595.85
1037.34,Norte,30,1.18,Industrial,43.47,1267.53
1455.76,Sul,30,0.66,Industrial,64.44,1025.24
902.49,Sul,30,0.9,Industrial,96.53,908.77
712.19,Sudeste,30,0.95,Residencial,172.43,849.01
1747.25,Nordeste,30,0.67,Industrial,153.05,1323.71
1541.76,Sudeste,30,0.61,Industrial,177.04,1117.51
1618.76,Sul,30,1.39,Industrial,197.38,2447.46
598.0,Centro-Oeste,30,1.46,Residencial,104.2,977.28
1467.6,Nordeste,30,1.37,Residencial,83.48,2094.09
487.94,Centro-Oeste,30,0.72,Comercial,42.72,394.04
1290.21,Nordeste,30,0.56,Comercial,178.3,900.82
1184.06,Nordeste,30,1.32,Comercial,165.93,1728.89
181.35,Sudeste,30,0.79,Industrial,189.96,333.23
1923.43,Norte,30,0.55,Industrial,76.28,1134.17
130.38,Nordeste,30,0.87,Residencial,174.01,287.44
1977.74,Norte,30,1.26,Residencial,168.73,2660.68
1548.85,Norte,30,0.69,Comercial,134.16,1202.87
1282.46,Sudeste,30,0.79,Industrial,81.27,1094.41
1730.49,Nordeste,30,0.74,Residencial,64.87,1345.43
1026.35,Norte,30,0.71,Residencial,65.37,794.08
1742.03,Sudeste,30,1.03,Industrial,111.26,1905.55
1973.63,Centro-Oeste,30,1.11,Industrial,96.72,2287.45
1097.77,Sul,30,1.32,Residencial,191.47,1640.53
87.8,Sudeste,30,0.69,Residencial,45.55,106.13
737.79,Sudeste,30,0.92,Industrial,13.02,691.79
1726.77,Sul,30,1.08,Industrial,92.78,1957.69
1676.9,Sul,30,0.71,Industrial,142.54,1333.14
156.0,Centro-Oeste,30,1.11,Comercial,148.97,322.13
1924.39,Nordeste,30,0.95,Residencial,11.06,1839.23
578.99,Sudeste,30,0.85,Industrial,78.87,571.01
1865.57,Sul,30,1.14,Industrial,170.31,2297.06
1520.14,Norte,30,1.45,Comercial,187.53,2391.73
1250.02,Sul,30,1.2,Residencial,92.48,1592.5
994.36,Centro-Oeste,30,1.45,Industrial,161.95,1603.77
845.94,Centro-Oeste,30,1.43,Residencial,106.8,1316.49
921.36,Sul,30,1.27,Residencial,83.12,1253.25
740.98,Sul,30,0.96,Industrial,72.69,784.03
605.44,Centro-Oeste,30,1.08,Comercial,182.88,836.76
1532.57,Norte,30,1.49,Industrial,18.24,2301.77
387.9,Nordeste,30,1.37,Residencial,160.86,692.28
469.4,Sudeste,30,0.59,Residencial,36.0,312.95
343.41,Centro-Oeste,30,1.49,Industrial,170.38,682.06
319.35,Sudeste,30,1.42,Industrial,124.98,578.46
1698.52,Centro-Oeste,30,1.02,Industrial,148.42,1880.91
1092.71,Norte,30,1.19,Residencial,23.03,1323.35
959.73,Norte,30,0.62,Comercial,165.42,760.45
139.24,Sudeste,30,1.36,Industrial,68.36,257.73
463.01,Norte,30,0.93,Industrial,155.94,586.54
776.72,Centro-Oeste,30,1.28,Industrial,70.69,1064.89
783.34,Sudeste,30,1.12,Industrial,54.75,932.09
1125.17,Nordeste,30,0.59,Residencial,159.22,823.07
1019.65,Sudeste,30,0.87,Industrial,74.25,961.35
1717.77,Norte,30,0.81,Residencial,176.76,1568.15
913.56,Nordeste,30,1.19,Comercial,46.48,1133.62
902.62,Sudeste,30,0.97,Residencial,147.2,1022.74
935.3,Centro-Oeste,30,0.99,Comercial,103.02,1028.97
1529.88,Nordeste,30,0.71,Residencial,45.67,1131.88
369.01,Sul,30,1.46,Residencial,19.52,558.27
822.72,Centro-Oeste,30,1.39,Industrial,67.09,1210.67
1139.43,Sul,30,1.31,Industrial,180.93,1673.58
1751.88,Nordeste,30,0.57,Residencial,178.85,1177.42
1102.17,Nordeste,30,0.54,Industrial,17.81,612.98
788.43,Norte,30,0.86,Industrial,159.63,837.68
1392.82,Centro-Oeste,30,1.19,Comercial,140.88,1798.34
1370.26,Norte,30,1.23,Industrial,190.28,1875.7
1162.3,Centro-Oeste,30,0.5,Comercial,83.32,664.47
1539.68,Centro-Oeste,30,0.74,Industrial,115.5,1254.86
1230.7,Centro-Oeste,30,1.45,Residencial,122.3,1906.82
374.54,Sul,30,0.69,Residencial,165.03,423.46
1347.98,Nordeste,30,0.66,Comercial,80.73,970.4
890.9,Sudeste,30,0.95,Residencial,24.79,871.14
1544.94,Sudeste,30,1.47,Residencial,148.23,2419.29
847.99,Nordeste,30,0.96,Industrial,81.07,895.14
231.96,Sudeste,30,0.85,Comercial,197.33,394.5
1240.52,Sul,30,1.06,Residencial,173.36,1488.31
1202.93,Nordeste,30,1.33,Comercial,158.99,1758.89
293.65,Centro-Oeste,30,0.9,Residencial,118.23,382.51
799.29,Norte,30,0.55,Comercial,22.11,461.72
1986.88,Norte,30,1.32,Industrial,18.82,2641.5
1746.36,Nordeste,30,0.55,Industrial,123.06,1083.56
727.65,Nordeste,30,0.8,Comercial,157.0,739.12
354.83,Sul,30,0.83,Industrial,103.39,397.9
1485.53,Norte,30,1.25,Industrial,81.71,1938.62
1376.78,Norte,30,0.91,Residencial,67.18,1320.05
173.86,Norte,30,1.3,Comercial,134.91,360.93
1038.6,Norte,30,0.9,Industrial,153.29,1088.03
271.46,Sul,30,0.93,Industrial,179.13,431.59
728.81,Sul,30,0.65,Comercial,95.06,568.79
607.07,Sudeste,30,0.94,Industrial,26.11,596.76
765.83,Norte,30,1.28,Industrial,60.31,1040.57
204.37,Sudeste,30,1.29,Comercial,111.95,375.59
1960.36,Sudeste,30,1.25,Residencial,71.33,2521.78
500.36,Nordeste,30,1.28,Comercial,176.32,816.78
1579.37,Centro-Oeste,30,0.53,Industrial,50.17,887.24
1099.55,Sudeste,30,1.4,Comercial,71.58,1610.95
1021.75,Centro-Oeste,30,0.67,Comercial,77.88,762.45
1832.6,Nordeste,30,0.57,Industrial,199.89,1244.47
783.91,Sudeste,30,1.45,Residencial,59.46,1196.13
1692.94,Norte,30,1.4,Industrial,35.78,2405.9
1138.97,Norte,30,1.4,Industrial,144.07,1738.63
378.22,Centro-Oeste,30,1.05,Comercial,72.15,469.28
1081.09,Centro-Oeste,30,1.23,Residencial,102.39,1432.13
1553.82,Sudeste,30,0.94,Residencial,26.0,1486.59
1520.95,Sudeste,30,1.07,Industrial,165.52,1792.94
1560.29,Centro-Oeste,30,1.28,Industrial,17.59,2014.76
740.1,Nordeste,30,1.12,Industrial,86.98,915.89
918.92,Centro-Oeste,30,1.03,Industrial,120.13,1066.62
460.57,Sul,30,0.93,Residencial,30.9,459.23
1882.97,Norte,30,0.83,Comercial,103.28,1666.15
1012.29,Centro-Oeste,30,0.85,Residencial,62.24,922.69
804.49,Norte,30,0.93,Industrial,80.41,828.59
350.43,Sul,30,0.62,Comercial,180.33,397.6
937.38,Sul,30,1.1,Comercial,58.15,1089.27
96.19,Norte,30,1.09,Industrial,98.72,203.57
888.2,Sul,30,1.09,Residencial,44.21,1012.35
819.2,Norte,30,1.08,Comercial,104.91,989.65
961.24,Sudeste,30,1.43,Comercial,101.76,1476.33
930.82,Centro-Oeste,30,0.54,Residencial,63.56,566.2
339.03,Sul,30,1.25,Industrial,132.46,556.25
451.39,Sudeste,30,0.79,Comercial,86.84,443.44
70.6,Sudeste,30,0.61,Industrial,38.45,81.52
974.96,Sudeste,30,1.05,Residencial,75.0,1098.71
487.38,Centro-Oeste,30,1.36,Residencial,94.02,756.86
314.25,Norte,30,1.45,Comercial,27.03,482.69
1279.91,Nordeste,30,0.54,Industrial,147.17,838.32
1318.43,Norte,30,1.04,Comercial,84.31,1455.48
1380.89,Sudeste,30,1.45,Comercial,183.28,2185.57
1415.19,Nordeste,30,0.88,Residencial,30.36,1275.73
1829.6,Norte,30,0.77,Residencial,160.26,1569.05
364.71,Sudeste,30,1.06,Comercial,22.35,408.94
881.85,Sudeste,30,0.84,Comercial,66.72,807.47
1375.56,Sudeste,30,0.52,Residencial,145.07,860.36
1908.35,Norte,30,0.7,Residencial,134.43,1470.27
681.36,Centro-Oeste,30,0.84,Comercial,175.23,747.57
1583.52,Centro-Oeste,30,0.81,Comercial,120.47,1403.12
210.31,Nordeste,30,0.76,Industrial,154.77,314.61
227.92,Centro-Oeste,30,0.76,Comercial,20.99,194.21
1811.88,Sul,30,0.65,Comercial,90.46,1268.18
1088.15,Sul,30,0.89,Comercial,180.5,1148.95
1501.7,Sul,30,0.71,Industrial,76.45,1142.66
880.52,Sudeste,30,1.23,Residencial,174.22,1257.26
1485.71,Nordeste,30,1.08,Industrial,15.08,1619.65
729.69,Sudeste,30,0.69,Residencial,146.18,649.67
1762.71,Nordeste,30,0.81,Industrial,78.51,1506.31
1966.72,Sul,30,1.39,Comercial,62.46,2796.2
1793.74,Norte,30,1.35,Residencial,196.51,2618.06
377.79,Centro-Oeste,30,0.6,Industrial,52.99,279.66
935.82,Sul,30,0.61,Residencial,114.47,685.32
1151.36,Norte,30,1.03,Industrial,154.43,1340.33
914.56,Centro-Oeste,30,0.98,Residencial,61.01,957.28
555.46,Norte,30,0.88,Comercial,97.39,586.19
791.48,Centro-Oeste,30,0.78,Comercial,89.63,706.98
568.72,Sul,30,0.87,Residencial,31.01,525.8
263.51,Centro-Oeste,30,0.55,Industrial,76.14,221.07
851.86,Sudeste,30,1.08,Industrial,168.64,1088.65
895.32,Sudeste,30,0.79,Industrial,57.95,765.25
1504.75,Norte,30,1.04,Comercial,68.31,1633.25
1459.3,Nordeste,30,0.72,Industrial,195.83,1246.53
1626.99,Sul,30,0.57,Residencial,124.62,1052.0
712.88,Norte,30,1.44,Industrial,11.31,1037.86
918.09,Sudeste,30,1.45,Residencial,180.7,1511.93
1260.81,Centro-Oeste,30,1.04,Industrial,185.16,1496.4
1783.86,Nordeste,30,1.01,Residencial,195.72,1997.42
1159.66,Nordeste,30,0.54,Comercial,133.74,759.96
688.87,Norte,30,1.32,Industrial,75.49,984.8
1653.43,Sudeste,30,0.7,Comercial,195.01,1352.41
1277.66,Norte,30,1.07,Comercial,108.54,1475.64
549.43,Sul,30,1.21,Residencial,81.25,746.06
1284.82,Nordeste,30,0.61,Residencial,148.02,931.76
509.2,Sudeste,30,0.92,Residencial,51.73,520.19
728.93,Sudeste,30,1.4,Industrial,22.06,1042.56
1987.88,Norte,30,0.59,Comercial,191.62,1364.47
1793.17,Norte,30,1.37,Industrial,132.16,2588.8
674.03,Sudeste,30,1.22,Comercial,33.37,855.69
969.19,Sul,30,1.45,Residencial,134.97,1540.3
1798.27,Nordeste,30,1.03,Industrial,176.45,2028.67
925.46,Norte,30,1.35,Comercial,154.77,1404.14
1314.76,Norte,30,0.82,Residencial,116.76,1194.86
1313.97,Sul,30,1.2,Residencial,199.16,1775.92
1695.9,Sudeste,30,1.46,Industrial,178.89,2654.9
454.76,Norte,30,0.9,Residencial,111.59,520.87
1278.2,Sul,30,1.41,Industrial,173.99,1976.25
1659.0,Nordeste,30,1.45,Industrial,140.66,2546.21
1414.37,Norte,30,0.72,Industrial,187.93,1206.28
1376.49,Sudeste,30,0.65,Industrial,139.46,1034.18
1548.54,Sudeste,30,1.37,Residencial,160.77,2282.27
1857.2,Sul,30,0.55,Comercial,160.35,1181.81
1081.58,Sudeste,30,0.62,Residencial,182.86,853.44
1013.98,Sul,30,1.11,Industrial,129.14,1254.66
1354.4,Norte,30,1.21,Residencial,130.8,1769.62
1195.6,Norte,30,0.9,Industrial,163.25,1239.29
653.22,Centro-Oeste,30,1.19,Industrial,109.96,887.29
287.52,Sul,30,1.5,Residencial,188.23,619.51
1016.41,Norte,30,1.36,Residencial,199.73,1582.05
1602.23,Sudeste,30,0.61,Industrial,64.21,1041.57
765.54,Sudeste,30,1.15,Industrial,95.97,976.34
1323.28,Centro-Oeste,30,1.11,Comercial,121.62,1590.46
53.79,Norte,30,1.08,Industrial,106.69,164.78
1950.59,Centro-Oeste,30,0.63,Residencial,92.75,1321.62
830.16,Sudeste,30,0.52,Residencial,47.42,479.1
362.56,Sul,30,1.04,Residencial,81.95,459.01
1804.32,Norte,30,1.18,Residencial,153.15,2282.25
1752.75,Sudeste,30,0.66,Industrial,92.68,1249.5
716.83,Sudeste,30,0.88,Comercial,146.39,777.2
589.11,Centro-Oeste,30,1.29,Residencial,78.23,838.18
1459.42,Sul,30,0.56,Residencial,69.24,886.52
1775.47,Norte,30,1.3,Industrial,34.87,2342.98
752.09,Norte,30,1.27,Comercial,23.78,978.93
174.81,Sudeste,30,1.42,Comercial,69.24,317.47
1290.25,Centro-Oeste,30,0.71,Residencial,176.26,1092.34
378.61,Nordeste,30,0.89,Residencial,104.69,441.65
825.0,Norte,30,1.0,Residencial,36.63,861.63
400.81,Sudeste,30,1.32,Comercial,163.79,692.86
141.39,Sul,30,1.02,Residencial,61.58,205.8
379.56,Norte,30,1.39,Industrial,128.63,656.22
732.95,Centro-Oeste,30,0.93,Industrial,141.35,822.99
1068.79,Sul,30,1.4,Industrial,136.8,1633.11
1052.58,Norte,30,0.58,Industrial,187.68,798.18
1947.94,Norte,30,0.65,Industrial,25.3,1291.46
893.14,Norte,30,1.3,Residencial,132.76,1293.84
277.72,Centro-Oeste,30,0.54,Industrial,25.85,175.82
1329.79,Nordeste,30,0.79,Comercial,28.97,1079.5
843.39,Sudeste,30,1.49,Residencial,199.98,1456.63
382.76,Sul,30,1.0,Industrial,165.99,548.75
1139.5,Norte,30,0.9,Comercial,18.22,1043.77
299.32,Sul,30,1.41,Comercial,112.43,534.47
134.5,Sul,30,0.89,Residencial,139.66,259.37
321.39,Centro-Oeste,30,0.65,Comercial,35.16,244.06
1172.17,Nordeste,30,0.6,Industrial,136.36,839.66
166.13,Sudeste,30,1.11,Industrial,24.9,209.3
448.57,Sudeste,30,0.72,Industrial,100.72,423.69
277.04,Nordeste,30,1.11,Residencial,129.06,436.57
281.48,Norte,30,1.38,Residencial,175.25,563.69
1485.56,Nordeste,30,1.2,Industrial,142.35,1925.02
744.91,Sudeste,30,0.68,Comercial,17.04,523.58
1328.13,Norte,30,0.88,Residencial,53.7,1222.45
1381.2,Nordeste,30,0.59,Residencial,187.75,1002.66
1664.04,Sul,30,1.01,Industrial,97.78,1778.46
1291.89,Sudeste,30,0.85,Comercial,47.04,1145.15
1889.47,Sul,30,1.12,Industrial,164.38,2280.59
751.73,Centro-Oeste,30,0.91,Residencial,16.91,700.98
269.09,Norte,30,1.27,Industrial,183.99,525.73
1153.45,Nordeste,30,0.62,Comercial,111.65,826.79
177.22,Sul,30,1.36,Comercial,44.69,285.71
1566.43,Norte,30,1.27,Comercial,47.91,2037.28
1287.09,Sul,30,0.84,Comercial,27.39,1108.55
1029.2,Norte,30,1.45,Industrial,161.02,1653.36
1682.12,Centro-Oeste,30,1.45,Residencial,146.5,2585.57
494.32,Centro-Oeste,30,1.04,Industrial,199.98,714.07
573.3,Nordeste,30,0.6,Comercial,41.73,385.71
1938.37,Sudeste,30,1.4,Industrial,71.42,2785.14
353.95,Nordeste,30,1.28,Comercial,48.0,501.06
1916.49,Sudeste,30,1.12,Industrial,76.36,2222.83
1644.77,Sudeste,30,0.6,Comercial,107.34,1094.2
658.64,Norte,30,0.6,Comercial,74.18,469.36
183.47,Sudeste,30,0.64,Industrial,160.62,278.04
418.97,Nordeste,30,1.13,Comercial,193.87,667.31
1956.45,Nordeste,30,0.67,Comercial,172.82,1483.64
1467.82,Norte,30,1.43,Comercial,193.8,2292.78
84.31,Nordeste,30,0.93,Residencial,109.64,188.05
668.36,Centro-Oeste,30,0.51,Industrial,88.46,429.32
216.39,Centro-Oeste,30,0.88,Comercial,173.26,363.68
809.78,Norte,30,0.82,Industrial,192.73,856.75
436.39,Sudeste,30,0.58,Industrial,44.52,297.63
958.73,Nordeste,30,1.47,Residencial,193.53,1602.86
1243.43,Sul,30,1.35,Industrial,125.58,1804.21
1283.64,Centro-Oeste,30,0.52,Comercial,167.55,835.04
1838.68,Sul,30,0.51,Residencial,41.2,978.93
550.49,Norte,30,0.93,Industrial,39.51,551.47
